sid,cid,sidsrcname,sidextid,subssynonym,sidmdate,depdate,depcatg,annotation
99444694,15947913,DrugBank,DB08223,"DB08223|N-{(1s,2r)-1-Benzyl-3-[(Cyclopropylmethyl)(2-Furylsulfonyl)amino]-2-Hydroxypropyl}-N'-Methylsuccinamide",20200307,20101109,Curation Efforts|Research and Development,NULL
99444695,4369567,DrugBank,DB08224,"DB08224|(1S,7S,8S,8AR)-1,2,3,7,8,8A-HEXAHYDRO-7-METHYL-8-[2-[(2R,4R)-TETRAHYDRO-4-HY DROXY-6-OXO-2H-PYRAN-2-YL]ETHYL]-1-NAPHTHALENOL",20200307,20101109,Curation Efforts|Research and Development,NULL
99444697,135424464,DrugBank,DB08226,Myxopyronin B|DB08226,20200307,20101109,Curation Efforts|Research and Development,NULL
99444698,19989057,DrugBank,DB08227,"DB08227|1-(1-hydroxy-2,2,6,6-tetramethylpiperidin-4-yl)pyrrolidine-2,5-dione",20200307,20101109,Curation Efforts|Research and Development,NULL
99444699,1504717,DrugBank,DB08228,"5,8-Dimethoxy-1,4-dimethylquinolin-2(1H)-one|DB08228",20200307,20101109,Curation Efforts|Research and Development,NULL
99444700,46937133,DrugBank,DB08229,DB08229|[N-(3-DIBENZYLCARBAMOYL-OXIRANECARBONYL)-HYDRAZINO]-ACETIC ACID,20210728,20101109,Curation Efforts|Research and Development,NULL
99444701,5281701,DrugBank,DB08230,"Tricetin|Tricetinidin|5,7,3',4',5'-Pentahydroxyflavone|3',4',5,5',7-pentahydroxyflavone|DB08230",20210728,20101109,Curation Efforts|Research and Development,NULL
99444702,11005,DrugBank,DB08231,Tetradecanoic acid|MYRISTIC ACID|n-Tetradecanoic acid|1-Tridecanecarboxylic acid|n-Tetradecan-1-oic acid|DB08231,20200307,20101109,Curation Efforts|Research and Development,NULL
99444703,135431470,DrugBank,DB08232,"DB08232|[5-(5-Amino-1H-pyrrolo[3,2-b]pyridin-2-yl)-6-hydroxy-3'-nitro-3-biphenylyl]acetic acid",20200307,20101109,Curation Efforts|Research and Development,NULL
99444704,447649,DrugBank,DB08233,6-CYCLOHEXYLMETHYLOXY-2-(4'-HYDROXYANILINO)PURINE|DB08233,20210728,20101109,Curation Efforts|Research and Development,NULL
99444705,25058133,DrugBank,DB08234,"5-[3-(2,5-Dimethoxyphenyl)prop-1-Yn-1-Yl]-6-Ethylpyrimidine-2,4-Diamine|DB08234",20200307,20101109,Curation Efforts|Research and Development,NULL
99444706,588963,DrugBank,DB08235,N-[2-(2-methyl-1H-indol-3-yl)ethyl]thiophene-2-carboxamide|DB08235,20200307,20101109,Curation Efforts|Research and Development,NULL
99444707,44129612,DrugBank,DB08236,"DB08236|(2S)-2-(3-bromophenyl)-3-(5-chloro-2-hydroxyphenyl)-1,3-thiazolidin-4-one",20200307,20101109,Curation Efforts|Research and Development,NULL
99444708,135908259,DrugBank,DB08237,DB08237|2'-deoxy-N-(naphthalen-1-ylmethyl)guanosine 5'-(dihydrogen phosphate),20200307,20101109,Curation Efforts|Research and Development,NULL
99444709,8408,DrugBank,DB08238,"1,6-Cleve's acid|5-aminonaphthalene-2-sulfonic acid|Cleve's beta-acid|1-NAPHTHYLAMINE-6-SULFONIC ACID|5-Naphthylamine-2-sulfonic acid|5-Aminonaphthalene-2-sulphonic acid|alpha-Naphthylamine-6-sulfonic acid|DB08238",20200307,20101109,Curation Efforts|Research and Development,NULL
99444710,11675645,DrugBank,DB08239,"DB08239|(2S)-4-(2,5-DIFLUOROPHENYL)-N-METHYL-2-PHENYL-N-PIPERIDIN-4-YL-2,5-DIHYDRO-1H-PYRROLE-1-CARBOXAMIDE",20210728,20101109,Curation Efforts|Research and Development,NULL
99444711,87517,DrugBank,DB08240,N-(4-Chlorophenyl)-3-(phosphonooxy)naphthalene-2-carboxamide|DB08240,20200307,20101109,Curation Efforts|Research and Development,NULL
99444712,447656,DrugBank,DB08241,4-(6-CYCLOHEXYLMETHOXY-9H-PURIN-2-YLAMINO)--BENZAMIDE|DB08241,20200307,20101109,Curation Efforts|Research and Development,NULL
99444713,23400214,DrugBank,DB08242,"DB08242|N,4-dimethyl-3-[(1-phenyl-1H-pyrazolo[3,4-d]pyrimidin-4-yl)amino]benzamide",20200307,20101109,Curation Efforts|Research and Development,NULL
99444715,6102824,DrugBank,DB08244,"DB08244|(1S)-1-CYCLOPROPYL-2-[(2S)-4-(2,5-DIFLUOROPHENYL)-2-PHENYL-2,5-DIHYDRO-1H-PYRROL-1-YL]-2-OXOETHANAMINE",20210728,20101109,Curation Efforts|Research and Development,NULL
99444716,46937135,DrugBank,DB08245,DB08245|1-(2-DEOXY-5-O-PHOSPHONO-BETA-D-ERYTHRO-PENTOFURANOSYL)-5-NITRO-1H-INDOLE,20200307,20101109,Curation Efforts|Research and Development,NULL
99444717,11840968,DrugBank,DB08246,"DB08246|(2S)-4-(2,5-DIFLUOROPHENYL)-N,N-DIMETHYL-2-PHENYL-2,5-DIHYDRO-1H-PYRROLE-1-CARBOXAMIDE",20210728,20101109,Curation Efforts|Research and Development,NULL
99444718,9547890,DrugBank,DB08247,6-(CYCLOHEXYLMETHOXY)-8-ISOPROPYL-9H-PURIN-2-AMINE|DB08247,20200307,20101109,Curation Efforts|Research and Development,NULL
99444719,447655,DrugBank,DB08248,DB08248|3-(6-CYCLOHEXYLMETHOXY-9H-PURIN-2-YLAMINO)-BENZENESULFONAMIDE,20200307,20101109,Curation Efforts|Research and Development,NULL
99444720,159866,DrugBank,DB08249,"3,6,9,12,15-Pentaoxatricosan-1-ol|DB08249",20200307,20101109,Curation Efforts|Research and Development,NULL
99444721,23586165,DrugBank,DB08250,"DB08250|(5s)-5-(3-Aminopropyl)-3-(2,5-Difluorophenyl)-N-Ethyl-5-Phenyl-4,5-Dihydro-1h-Pyrazole-1-Carboxamide",20210728,20101109,Curation Efforts|Research and Development,NULL
99444722,5288878,DrugBank,DB08251,DB08251|4-[5-(2-CARBOXY-1-FORMYL-ETHYLCARBAMOYL)-PYRIDIN-3-YL]-BENZOIC ACID,20200307,20101109,Curation Efforts|Research and Development,NULL
99444723,448622,DrugBank,DB08252,2-((4'-HYDROXYNAPHTHYL)-AZO)BENZOIC ACID|DB08252,20200307,20101109,Curation Efforts|Research and Development,NULL
99444724,5288981,DrugBank,DB08253,NAM NAPTHYLAMINOALANINE|DB08253,20200307,20101109,Curation Efforts|Research and Development,NULL
99444725,8420,DrugBank,DB08254,Naphthalene-2-sulfonic acid|2-NAPHTHALENESULFONIC ACID|beta-Naphthylsulfonic acid|beta-Naphthalenesulfonic acid|DB08254,20200307,20101109,Curation Efforts|Research and Development,NULL
99444726,11507040,DrugBank,DB08255,"DB08255|(3ar,5r,6s,7r,7ar)-5-(Hydroxymethyl)-2-Propyl-5,6,7,7a-Tetrahydro-3ah-Pyrano[3,2-D][1,3]thiazole-6,7-Diol",20200307,20101109,Curation Efforts|Research and Development,NULL
99444727,4149241,DrugBank,DB08256,N-[(CYCLOHEXYLAMINO)CARBONYL]GLYCINE|DB08256,20200307,20101109,Curation Efforts|Research and Development,NULL
99444728,6420119,DrugBank,DB08257,4-{[(CYCLOHEXYLAMINO)CARBONYL]AMINO}BUTANOIC ACID|DB08257,20200307,20101109,Curation Efforts|Research and Development,NULL
99444729,6420120,DrugBank,DB08258,6-{[(CYCLOHEXYLAMINO)CARBONYL]AMINO}HEXANOIC ACID|DB08258,20200307,20101109,Curation Efforts|Research and Development,NULL
99444730,6420121,DrugBank,DB08259,7-{[(CYCLOHEXYLAMINO)CARBONYL]AMINO}HEPTANOIC ACID|DB08259,20200307,20101109,Curation Efforts|Research and Development,NULL
99444731,24963032,DrugBank,DB08260,"DB08260|(1s,2r,3s,4r,5r)-2,3,4-Trihydroxy-N-Octyl-6-Oxa-8-Azabicyclo[3.2.1]octane-8-Carbothioamide",20210728,20101109,Curation Efforts|Research and Development,NULL
99444732,446415,DrugBank,DB08261,"DB08261|2-HYDROXY-7-METHOXY-5-METHYL-NAPHTHALENE-1-CARBOXYLIC ACID MESO-2,5-DIHYDROXY-CYCLOPENT-3-ENYL ESTER",20200307,20101109,Curation Efforts|Research and Development,NULL
99444733,14357,DrugBank,DB08262,"2,6-DICARBOXYNAPHTHALENE|DB08262",20210728,20101109,Curation Efforts|Research and Development,NULL
99444734,5288998,DrugBank,DB08263,N-(CARBOXYCARBONYL)-D-PHENYLALANINE|DB08263,20200307,20101109,Curation Efforts|Research and Development,NULL
99444735,440294,DrugBank,DB08264,"(1R, 2S)-CIS 1,2 DIHYDROXY-1,2-DIHYDRONAPHTHALENE|DB08264",20200307,20101109,Curation Efforts|Research and Development,NULL
99444736,481709,DrugBank,DB08265,"DB08265|2-(TOLUENE-4-SULFONYL)-2H-BENZO[D][1,2,3]DIAZABORININ-1-OL",20210728,20101109,Curation Efforts|Research and Development,NULL
99444737,131704307,DrugBank,DB08266,"DB08266|Methyl [(1E,5R)-5-{3-[(2E,4E)-2,5-dimethyl-2,4-octadienoyl]-2,4-dioxo-3,4-dihydro-2H-pyran-6-yl}hexylidene]carbamate",20200307,20101109,Curation Efforts|Research and Development,NULL
99444738,135438475,DrugBank,DB08267,"DB08267|6-AMINO-4-(2-PHENYLETHYL)-1,7-DIHYDRO-8H-IMIDAZO[4,5-G]QUINAZOLIN-8-ONE",20200307,20101109,Curation Efforts|Research and Development,NULL
99444739,135414394,DrugBank,DB08268,"DB08268|6-AMINO-4-[2-(4-METHYLPHENYL)ETHYL]-1,7-DIHYDRO-8H-IMIDAZO[4,5-G]QUINAZOLIN-8-ONE",20210728,20101109,Curation Efforts|Research and Development,NULL
99444741,46937137,DrugBank,DB08270,"DB08270|N-(2-Aminoethyl)-N~2~-{(1s)-1-[4'-(Aminosulfonyl)biphenyl-4-Yl]-2,2,2-Trifluoroethyl}-L-Leucinamide",20200307,20101109,Curation Efforts|Research and Development,NULL
99444742,448002,DrugBank,DB08271,N-ISOBUTYL-N-[4-METHOXYPHENYLSULFONYL]GLYCYL HYDROXAMIC ACID|DB08271,20200307,20101109,Curation Efforts|Research and Development,NULL
99444743,9817372,DrugBank,DB08272,(4S)-4-(2-NAPHTHYLMETHYL)-D-GLUTAMIC ACID|DB08272,20200307,20101109,Curation Efforts|Research and Development,NULL
99444744,46937138,DrugBank,DB08273,DB08273|4-HYDROXY-5-IODO-3-NITROPHENYLACETYL-EPSILON-AMINOCAPROIC ACID ANION,20200307,20101109,Curation Efforts|Research and Development,NULL
99444745,54708746,DrugBank,DB08274,"DB08274|6,7,8,9-Tetrahydro-4-hydroxy-3-(1-phenylpropyl)cyclohepta[b]pyran-2-one",20200307,20101109,Curation Efforts|Research and Development,NULL
99444746,6710104,DrugBank,DB08275,N-Dodecanoyl-L-Tyrosine|DB08275,20200307,20101109,Curation Efforts|Research and Development,NULL
99444747,,DrugBank,DB08276,DB08276|N-METHYL O-NITROPHENYL AMINOETHYLDIPHOSPHATE BERYLLIUM TRIFLUORIDE|trifluoro-[hydroxy-[hydroxy-[2-(N-methyl-2-nitro-anilino)ethoxy]phosphoryl]oxy-phosphoryl]oxy-beryllium(1-),20200307,20101109,Curation Efforts|Research and Development,NULL
99444748,16040257,DrugBank,DB08277,"DB08277|2-(2-Chloro-4-Fluorophenoxy)-2-Methyl-N-[(1r,2s,3s,5s,7s)-5-(Methylsulfonyl)-2-Adamantyl]propanamide",20210728,20101109,Curation Efforts|Research and Development,NULL
99444749,135435181,DrugBank,DB08278,"DB08278|1-(2-cyclopropylethyl)-3-(1,1-dioxo-2h-1,2,4-benzothiadiazin-3-yl)-6-fluoro-4-hydroxy-2(1h)-quinolinone",20200307,20101109,Curation Efforts|Research and Development,NULL
99444750,503536,DrugBank,DB08279,DB08279|3-{isopropyl[(Trans-4-Methylcyclohexyl)carbonyl]amino}-5-Phenylthiophene-2-Carboxylic Acid,20210728,20101109,Curation Efforts|Research and Development,NULL
99444751,15942677,DrugBank,DB08280,"DB08280|(1s,3r,4s,5s,7s)-4-{[2-(4-Methoxyphenoxy)-2-Methylpropanoyl]amino}adamantane-1-Carboxamide",20210728,20101109,Curation Efforts|Research and Development,NULL
99444752,5278689,DrugBank,DB08281,"DB08281|O-[2-(1,3-Dioxo-1,3-Dihydro-2h-Isoindol-2-Yl)ethyl] (4-Bromophenyl)thiocarbamate",20200307,20101109,Curation Efforts|Research and Development,NULL
99444753,5278688,DrugBank,DB08282,"DB08282|O-[2-(1,3-Dioxo-1,3-Dihydro-2h-Isoindol-2-Yl)ethyl] (4-Chlorophenyl)thiocarbamate",20200307,20101109,Curation Efforts|Research and Development,NULL
99444754,501640,DrugBank,DB08283,"(2R,3R,4R,5S)-2-(hydroxymethyl)-1-nonylpiperidine-3,4,5-triol|DB08283",20200307,20101109,Curation Efforts|Research and Development,NULL
99444755,5278690,DrugBank,DB08284,"DB08284|O-[2-(1,3-Dioxo-1,3-Dihydro-2h-Isoindol-2-Yl)ethyl] (4-Iodophenyl)thiocarbamate",20200307,20101109,Curation Efforts|Research and Development,NULL
99444756,25190761,DrugBank,DB08285,"DB08285|(2R)-2-{[4-(benzylamino)-8-(1-methylethyl)pyrazolo[1,5-a][1,3,5]triazin-2-yl]amino}butan-1-ol",20210728,20101109,Curation Efforts|Research and Development,NULL
99444757,76313,DrugBank,DB08286,1-Naphthoxyacetic acid|(1-Naphthyloxy)acetic acid|1-Naphthyloxyacetic acid|(1-naphthalenyloxy)acetic acid|DB08286,20200307,20101109,Curation Efforts|Research and Development,NULL
99444758,11840970,DrugBank,DB08287,"DB08287|(1R,2R)-N-(2-AMINOETHYL)-2-{[(4-METHOXYPHENYL)SULFONYL]METHYL}CYCLOHEXANECARBOXAMIDE",20200307,20101109,Curation Efforts|Research and Development,NULL
99444759,5289045,DrugBank,DB08288,CYCLOHEXYL-NORSTATINE|DB08288,20200307,20101109,Curation Efforts|Research and Development,NULL
99444760,3256857,DrugBank,DB08289,N-(PARA-GLUTARAMIDOPHENYL-ETHYL)-PIPERIDINIUM-N-OXIDE|DB08289,20200307,20101109,Curation Efforts|Research and Development,NULL
99444762,3581192,DrugBank,DB08291,N-(3-AMINOPROPYL)-2-NITROBENZENAMINE|DB08291,20200307,20101109,Curation Efforts|Research and Development,NULL
99444763,11963551,DrugBank,DB08292,"DB08292|(5z)-12-Chloro-13,15-Dihydroxy-4,7,8,9-Tetrahydro-2-Benzoxacyclotridecine-1,10(3h,11h)-Dione",20200307,20101109,Curation Efforts|Research and Development,NULL
99444764,11963552,DrugBank,DB08293,"DB08293|(5e)-12-Chloro-13,15-Dihydroxy-4,7,8,9-Tetrahydro-2-Benzoxacyclotridecine-1,10(3h,11h)-Dione",20200307,20101109,Curation Efforts|Research and Development,NULL
99444765,447364,DrugBank,DB08294,2-(4-HYDROXY-3-NITROPHENYL)ACETIC ACID|DB08294,20200307,20101109,Curation Efforts|Research and Development,NULL
99444766,3256859,DrugBank,DB08295,DB08295|4-HYDROXY-3-NITROPHENYLACETYL-EPSILON-AMINOCAPROIC ACID ANION,20200307,20101109,Curation Efforts|Research and Development,NULL
99444767,3256861,DrugBank,DB08296,5-(PARA-NITROPHENYL PHOSPHONATE)-PENTANOIC ACID|DB08296,20210728,20101109,Curation Efforts|Research and Development,NULL
99444768,150889,DrugBank,DB08297,ORTHONITROPHENYL-BETA-D-FUCOPYRANOSIDE|DB08297,20200307,20101109,Curation Efforts|Research and Development,NULL
99444770,9999276,DrugBank,DB08299,"4-[8-(3-nitrophenyl)-1,7-naphthyridin-6-yl]benzoic Acid|DB08299",20210728,20101109,Curation Efforts|Research and Development,NULL
99444771,24905144,DrugBank,DB08300,"DB08300|1-Methyl-3-Naphthalen-2-Yl-1h-Pyrazolo[3,4-D]pyrimidin-4-Amine",20200307,20101109,Curation Efforts|Research and Development,NULL
99444772,6852128,DrugBank,DB08301,DB08301|N-({[4-(AMINOSULFONYL)PHENYL]AMINO}CARBONYL)-4-METHYLBENZENESULFONAMIDE,20210728,20101109,Curation Efforts|Research and Development,NULL
99444773,6006216,DrugBank,DB08302,DB08302|3-[5-(2-Nitropent-1-En-1-Yl)furan-2-Yl]benzoic Acid,20200307,20101109,Curation Efforts|Research and Development,NULL
99444774,44129629,DrugBank,DB08303,"DB08303|(3s)-3-Cyclopentyl-6-Methyl-7-[(4-Methylpiperazin-1-Yl)sulfonyl]-3,4-Dihydro-2h-1,2,4-Benzothiadiazine 1,1-Dioxide",20200307,20101109,Curation Efforts|Research and Development,NULL
99444775,44129630,DrugBank,DB08304,"DB08304|(3r)-3-Cyclopentyl-7-[(4-Methylpiperazin-1-Yl)sulfonyl]-3,4-Dihydro-2h-1,2-Benzothiazine 1,1-Dioxide",20200307,20101109,Curation Efforts|Research and Development,NULL
99444776,44129631,DrugBank,DB08305,"DB08305|(3r)-3-Cyclopentyl-6-Methyl-7-[(4-Methylpiperazin-1-Yl)sulfonyl]-3,4-Dihydro-2h-1,2-Benzothiazine 1,1-Dioxide",20200307,20101109,Curation Efforts|Research and Development,NULL
99444777,657105,DrugBank,DB08306,DB08306|3-[(3-Nitrophenyl)sulfamoyl]-2-thiophenecarboxylic acid,20200307,20101109,Curation Efforts|Research and Development,NULL
99444778,5289053,DrugBank,DB08307,"DB08307|2-{HYDROXY[2-NITRO-4-(TRIFLUOROMETHYL)PHENYL]METHYLENE}CYCLOHEXANE-1,3-DIONE",20200307,20101109,Curation Efforts|Research and Development,NULL
99444779,5289054,DrugBank,DB08308,"DB08308|SUCCINIC ACID MONO-(13-METHYL-3-OXO-2,3,6,7,8,9,10,11,12,13,14,15,16,17-TETRADECAHYDRO-1H-CYCLOPENTA[A]PHENANTHREN-17-YL) ESTER",20200307,20101109,Curation Efforts|Research and Development,NULL
99444780,6852201,DrugBank,DB08309,DB08309|3-({2-[(4-{[6-(CYCLOHEXYLMETHOXY)-9H-PURIN-2-YL]AMINO}PHENYL)SULFONYL]ETHYL}AMINO)PROPAN-1-OL,20210728,20101109,Curation Efforts|Research and Development,NULL
99444781,25134267,DrugBank,DB08310,"DB08310|N-[(2R)-2-{[(2S)-2-(1,3-Benzoxazol-2-yl)pyrrolidin-1-yl]carbonyl}hexyl]-N-hydroxyformamide",20200307,20101109,Curation Efforts|Research and Development,NULL
99444783,398148,DrugBank,DB08312,"6-CYCLOHEXYLMETHYLOXY-5-NITROSO-PYRIMIDINE-2,4-DIAMINE|DB08312",20200307,20101109,Curation Efforts|Research and Development,NULL
99444784,4122,DrugBank,DB08313,nocodazole|Oncodazole|DB08313,20200307,20101109,Curation Efforts|Research and Development,NULL
99444785,25271554,DrugBank,DB08314,"(2-Amino-1,3-Oxazol-5-Yl)-(3-Bromophenyl)methanone|DB08314",20200307,20101109,Curation Efforts|Research and Development,NULL
99444786,25271555,DrugBank,DB08315,"DB08315|2-Amino-N,N-Bis(Phenylmethyl)-1,3-Oxazole-5-Carboxamide",20200307,20101109,Curation Efforts|Research and Development,NULL
99444787,3137930,DrugBank,DB08316,"4-Amino-7,7-Dimethyl-7,8-Dihydroquinazolin-5(6h)-One|DB08316",20200307,20101109,Curation Efforts|Research and Development,NULL
99444788,25271556,DrugBank,DB08317,"5-Methyl-6-Phenylquinazoline-2,4-Diamine|DB08317",20210728,20101109,Curation Efforts|Research and Development,NULL
99444789,25271557,DrugBank,DB08318,"6-(2-Phenoxyethoxy)-1,3,5-Triazine-2,4-Diamine|DB08318",20210728,20101109,Curation Efforts|Research and Development,NULL
99444790,441161,DrugBank,DB08319,"2'-HYDROXY-1,1'-BIPHENYL-2-SULFINIC ACID|DB08319",20200307,20101109,Curation Efforts|Research and Development,NULL
99444791,24752837,DrugBank,DB08320,"DB08320|Diethyl (1r,2s,3r,4s)-5,6-Bis(4-Hydroxyphenyl)-7-Oxabicyclo[2.2.1]hept-5-Ene-2,3-Dicarboxylate",20200307,20101109,Curation Efforts|Research and Development,NULL
99444792,9817381,DrugBank,DB08321,"DB08321|(1s,2s,3r,6r)-4-(Hydroxymethyl)-6-(Octylamino)cyclohex-4-Ene-1,2,3-Triol",20200307,20101109,Curation Efforts|Research and Development,NULL
99444793,11669698,DrugBank,DB08322,"DB08322|2-Deoxy-3,4-Bis-O-[3-(4-Hydroxyphenyl)propanoyl]-L-Threo-Pentaric Acid",20200307,20101109,Curation Efforts|Research and Development,NULL
99444794,16122585,DrugBank,DB08323,3-OXO-N-[(3S)-2-OXOPYRROLIDIN-3-YL]DODECANAMIDE|DB08323,20200307,20101109,Curation Efforts|Research and Development,NULL
99444795,3246941,DrugBank,DB08324,N-3-Oxo-Dodecanoyl-L-Homoserine Lactone|DB08324,20200307,20101109,Curation Efforts|Research and Development,NULL
99444796,2856,DrugBank,DB08325,2-(2-HYDROXYETHYLAMINO)-6-(3-CHLOROANILINO)-9-ISOPROPYLPURINE|DB08325|2-({6-[(3-Chlorophenyl)amino]-9-isopropyl-9H-purin-2-yl}amino)ethanol,20200307,20101109,Curation Efforts|Research and Development,NULL
99444797,135398698,DrugBank,DB08326,"2-(6-hydroxy-1,3-benzothiazol-2-yl)-1,3-thiazol-4(5H)-one|DB08326",20200307,20101109,Curation Efforts|Research and Development,NULL
99444798,780,DrugBank,DB08327,"Homogentisic acid|2,5-Dihydroxyphenylacetic acid|Homogentisate acid|Homogentisinic acid|DB08327",20200307,20101109,Curation Efforts|Research and Development,NULL
99444799,25011726,DrugBank,DB08328,Pantothenyl-Aminoethanol-11-Pivalic Acid|DB08328,20200307,20101109,Curation Efforts|Research and Development,NULL
99444800,5356,DrugBank,DB08329,sultiame|SULTHIAME|DB08329,20210728,20101109,Curation Efforts|Research and Development,NULL
99444801,5289085,DrugBank,DB08330,DB08330|METHYL (2Z)-3-METHOXY-2-{2-[(E)-2-PHENYLVINYL]PHENYL}ACRYLATE,20200307,20101109,Curation Efforts|Research and Development,NULL
99444802,11370952,DrugBank,DB08331,"DB08331|N-1H-imidazol-2-yl-N'-[4-(1H-imidazol-2-ylamino)phenyl]benzene-1,4-diamine",20210728,20101109,Curation Efforts|Research and Development,NULL
99444803,446966,DrugBank,DB08332,[2'-CARBOXYLETHYL]-10-METHYL-ANTHRACENE ENDOPEROXIDE|DB08332|9-(2-carboxyethyl)-10-methylanthracene endoperoxide,20210728,20101109,Curation Efforts|Research and Development,NULL
99444804,135616914,DrugBank,DB08333,DB08333|4-Hydroxybenzaldehyde O-(Cyclohexylcarbonyl)oxime,20200307,20101109,Curation Efforts|Research and Development,NULL
99444805,135566317,DrugBank,DB08334,DB08334|3-Fluoro-4-Hydroxybenzaldehyde O-(Cyclohexylcarbonyl)oxime,20200307,20101109,Curation Efforts|Research and Development,NULL
99444806,135908260,DrugBank,DB08335,"DB08335|4-Hydroxybenzaldehyde O-(3,3-Dimethylbutanoyl)oxime",20210728,20101109,Curation Efforts|Research and Development,NULL
99444807,46937140,DrugBank,DB08336,"DB08336|2-Methyl-2-propanyl [(1R)-2-methyl-1-(1,3,4-oxadiazol-2-yl)propyl]carbamate",20200307,20101109,Curation Efforts|Research and Development,NULL
99444808,46937141,DrugBank,DB08337,"DB08337|2-Methyl-2-propanyl [(1S)-2-methyl-1-(1,3,4-oxadiazol-2-yl)propyl]carbamate",20200307,20101109,Curation Efforts|Research and Development,NULL
99444809,135566411,DrugBank,DB08338,"DB08338|19-(Cyclopropylamino)-4,6,7,15-Tetrahydro-5h-16,1-(Azenometheno)-10,14-(Metheno)pyrazolo[4,3-O][1,3,9]triazacyclohexadecin-8(9h)-One",20210728,20101109,Curation Efforts|Research and Development,NULL
99444810,447700,DrugBank,DB08339,PD-166326|DB08339,20210728,20101109,Curation Efforts|Research and Development,NULL
99444811,24779674,DrugBank,DB08340,"DB08340|N,N'-DIPHENYLPYRAZOLO[1,5-A][1,3,5]TRIAZINE-2,4-DIAMINE",20200307,20101109,Curation Efforts|Research and Development,NULL
99444812,25920890,DrugBank,DB08341,"DB08341|4-{[4-{[(1R,2R)-2-(dimethylamino)cyclopentyl]amino}-5-(trifluoromethyl)pyrimidin-2-yl]amino}-N-methylbenzenesulfonamide",20200307,20101109,Curation Efforts|Research and Development,NULL
99444813,46937142,DrugBank,DB08342,s-palmitoyl cysteine|S-PALMITOYL-L-CYSTEINE|DB08342,20200307,20101109,Curation Efforts|Research and Development,NULL
99444815,23644580,DrugBank,DB08344,DB08344|4-Chloro-N-(3-Methoxypropyl)-N-[(3s)-1-(2-Phenylethyl)piperidin-3-Yl]benzamide,20210728,20101109,Curation Efforts|Research and Development,NULL
99444816,24779678,DrugBank,DB08345,"DB08345|4-(2-(1H-imidazol-4-yl)ethylamino)-2-(phenylamino)pyrazolo[1,5-a][1,3,5]triazine-8-carbonitrile",20200307,20101109,Curation Efforts|Research and Development,NULL
99444817,24916788,DrugBank,DB08346,"DB08346|(5Z)-13-CHLORO-14,16-DIHYDROXY-3,4,7,8,9,10-HEXAHYDRO-1H-2-BENZOXACYCLOTETRADECINE-1,11(12H)-DIONE",20200307,20101109,Curation Efforts|Research and Development,NULL
99444818,46937143,DrugBank,DB08347,DB08347|4-{[(2s)-3-(Tert-Butylamino)-2-Hydroxypropyl]oxy}-3h-Indole-2-Carbonitrile,20200307,20101109,Curation Efforts|Research and Development,NULL
99444819,4858,DrugBank,DB08348,"N~2~,N~2~-DIMETHYL-N~1~-(6-OXO-5,6-DIHYDROPHENANTHRIDIN-2-YL)GLYCINAMIDE|DB08348",20200307,20101109,Curation Efforts|Research and Development,NULL
99444820,42647297,DrugBank,DB08349,"DB08349|N-cyclopropyl-3-{[1-(2,4-difluorophenyl)-7-methyl-6-oxo-6,7-dihydro-1H-pyrazolo[3,4-b]pyridin-4-yl]amino}-4-methylbenzamide",20200307,20101109,Curation Efforts|Research and Development,NULL
99444821,16750094,DrugBank,DB08350,"DB08350|5-[3-(2-Methoxyphenyl)-1h-Pyrrolo[2,3-B]pyridin-5-Yl]-N,N-Dimethylpyridine-3-Carboxamide",20200307,20101109,Curation Efforts|Research and Development,NULL
99444822,24963046,DrugBank,DB08351,DB08351|N-cyclopropyl-4-methyl-3-{2-[(2-morpholin-4-ylethyl)amino]quinazolin-6-yl}benzamide,20200307,20101109,Curation Efforts|Research and Development,NULL
99444823,24755476,DrugBank,DB08352,"DB08352|6-[4-(2-fluorophenyl)-1,3-oxazol-5-yl]-N-(1-methylethyl)-1,3-benzothiazol-2-amine",20200307,20101109,Curation Efforts|Research and Development,NULL
99444824,24779675,DrugBank,DB08353,"DB08353|2-(cyclohexylmethylamino)-4-(phenylamino)pyrazolo[1,5-a][1,3,5]triazine-8-carbonitrile",20210728,20101109,Curation Efforts|Research and Development,NULL
99444825,24779676,DrugBank,DB08354,"DB08354|2-(4-chlorobenzylamino)-4-(phenylamino)pyrazolo[1,5-a][1,3,5]triazine-8-carbonitrile",20210728,20101109,Curation Efforts|Research and Development,NULL
99444826,44129603,DrugBank,DB08355,"DB08355|1-methyl-8-(phenylamino)-4,5-dihydro-1H-pyrazolo[4,3-h]quinazoline-3-carboxylic acid",20200307,20101109,Curation Efforts|Research and Development,NULL
99444827,764764,DrugBank,DB08356,"4-[4-(4-methoxyphenyl)-5-methyl-1H-pyrazol-3-yl]benzene-1,3-diol|DB08356",20200307,20101109,Curation Efforts|Research and Development,NULL
99444828,8179,DrugBank,DB08357,Diethyl carbitol|DIETHYLENE GLYCOL DIETHYL ETHER|Ethyl diglyme|Diethyldiethylene glycol|1-Ethoxy-2-(2-ethoxyethoxy)ethane|1-Ethoxy-2-(beta-ethoxyethoxy)ethane|DB08357,20200307,20101109,Curation Efforts|Research and Development,NULL
99444829,10389239,DrugBank,DB08358,"DB08358|2-(2-Quinolin-3-Ylpyridin-4-Yl)-1,5,6,7-Tetrahydro-4h-Pyrrolo[3,2-C]pyridin-4-One",20200307,20101109,Curation Efforts|Research and Development,NULL
